year,player,pff_id
2014,Cory Avery,198
2014,Elijhaa Penny,185
2014,Jay Warren,165
2014,Jerrel Brown,185
2014,Stanley Williams,202
2014,Dareyon Chance,347
2014,JoJo Natson,329
2014,Buddy Howell,165
2014,Kristoffer Olugbode,185
2014,DeBrandon Sanders,237
2014,Cole Chiappialle,266
2014,Aaron Duckworth,185
2014,Deanthonie Summerhill,307
2014,Joe Dineen,198
2014,Alton Howard,307
2014,Denzel Jones Jr.,102
2014,Richard Montgomery Jr.,185
2014,Quinton Singleton,237
2014,Randy Price,314
2014,Tony Pitman,214
2014,Temuchin Hodges,337
2014,Christopher Harper,130
2014,A.J. Clinton-Earl,101
2014,Ike Lewis,108
2014,Leondre James,319
2014,Miquel James,211
2014,Ralph David Abernathy IV,138
2014,Taylor Lagace,324
2014,David Washington,263
2014,Joshua McCain,185
2014,Danny Vitale,256
2014,Baylor Black,118
2014,Tom Hruby,256
2014,Zach Nemechek,199
2014,Hansell Wilson,285
2014,Colin Osborne,237
2014,Eugene Lewis,266
2015,Elijhaa Penny,185
2015,Ke'aun Kinner,198
2015,Buddy Howell,165
2015,Stanley Williams,202
2015,Jay Warren,165
2015,Aaron Duckworth,185
2015,DeBrandon Sanders,237
2015,Aeris Williams,227
2015,Matthew Jordan,176
2015,Nick Patti,323
2015,Aubrey Duty-Tyson,101
2015,Malike Roberson,285
2015,Damion Terry,223
2015,Dontavian Lee,227
2015,Austin Grammer,224
2015,Tanner McEvoy,349
2015,Gump Hayes,110
2015,Trever Ryen,193
2015,Donte Thomas-Williams,343
2015,Jeffrey Coprich,130
2015,Elijah Wellman,343
2015,Lynn Griffin,176
2015,Isaiah Saunders,185
2015,Morgan Steward,229
2015,Jelani Roberts,256
2015,Temuchin Hodges,337
2015,Traveon Samuel,210
2015,Hansell Wilson,285
2015,Chris High,237
2015,Nate German,275
2015,Robbie Chosen,306
2015,Bobo Wilson,167
2015,Jaqwis Dancy,208
2015,Garrett Anderson,146
2015,Jalen Rowell,101
2015,Callen Hightower,185
2015,Alton Howard,307
2015,Royce Caldwell,242
2015,Mikah Holder,284
2015,Jackson Porter,216
2015,Tyrian Taylor,242
2015,Marcell Ateman,262
2015,Jordon Vaden,144
2015,LaQuan McGowan,118
2015,Ronald Cleveland,101
2016,Stanley Williams,202
2016,Buddy Howell,165
2016,Isaiah Saunders,185
2016,Aaron Duckworth,185
2016,Ke'aun Kinner,198
2016,Aeris Williams,227
2016,Malike Roberson,285
2016,Artavis Pierce,265
2016,Denzal Brantley,185
2016,Denzel Jones Jr.,102
2016,Terelle West,224
2016,Benny LeMay,136
2016,Dimitri Flowers,261
2016,Ronald Cleveland,101
2016,Cory Butler-Byrd,328
2016,Jabir Daughtry-Frye,318
2016,Lynn Griffin,176
2016,Nate German,275
2016,D'Eriq King,182
2016,Anthony D. Taylor,314
2016,Justin Rice,169
2016,Temuchin Hodges,337
2016,Damian Lewis,115
2016,Branden Leon,109
2016,Traveon Samuel,210
2016,Royce Caldwell,242
2016,Dontavian Lee,227
2016,JoJo Natson,102
2016,Callen Hightower,185
2016,Doug Coman,185
2016,Tom Hruby,256
2016,Allenzae Staggers,296
2016,William Crest Jr.,343
2016,Nahshon Ellerbe,275
2016,Avery Johnson,138
2016,Jelani Roberts,256
2016,Gary Haynes,207
2016,Deangelo Antoine,327
2016,Bobo Wilson,167
2016,David Ungerer III,185
2016,Trever Ryen,193
2016,Joe Beneducci,222
2016,Michael Lacey,307
2016,Nick Westbrook-Ikhine,190
2016,Ben Scruton,180
2016,Tyrian Taylor,242
2016,Mykel Golden,108
2016,Colin Reardon,201
2016,Michael Geiger,223
2016,Nathan Cottrell,176
2017,Aeris Williams,227
2017,Aaron Duckworth,185
2017,Chris High,237
2017,Morgan Ellison,190
2017,Benny LeMay,136
2017,Isaiah Saunders,185
2017,Buddy Howell,165
2017,Anthony D. Taylor,314
2017,Malike Roberson,285
2017,Nahshon Ellerbe,275
2017,Artavis Pierce,265
2017,Dillon Birden,182
2017,Quardraiz Wadley,330
2017,Terelle West,224
2017,Kesean Gamble,201
2017,Ronald Cleveland,101
2017,Austin Kafentzis,128
2017,Jaqwis Dancy,208
2017,Nathan Cottrell,176
2017,Kenedy Snell,305
2017,Ja'Ron Wilson,262
2017,Keoni-Kordell Makekau,237
2017,Dontavian Lee,227
2017,Dimitri Flowers,261
2017,Branden Leon,109
2017,Mason Petrino,185
2017,Dru Dixon,118
2017,Dylan Thigpen,185
2017,Jelani Roberts,256
2017,Allenzae Staggers,296
2017,Cole Fagan,101
