year,player,pff_id,rush_grade,rec_grade,team
2014,Joshua McCain,185,,77.3,IDAHO
2014,Jordan Williams-Lambert,117,,73.6,BALL ST
2014,Eugene Lewis,266,,64,PENN STATE
2014,Alton Howard,307,,72.5,TENNESSEE
2014,Christopher Harper,130,,75.1,CAL
2014,Temuchin Hodges,337,,73.5,VA TECH
2014,JoJo Natson,329,,67.1,UTAH ST
2014,Richard Montgomery Jr.,185,,57.9,IDAHO
2014,Jalen Rowell,101,,89.9,AIR FORCE
2014,Mike Thomas,296,,61.4,SO MISS
2014,Deon Watson,185,,53.8,IDAHO
2014,Bobo Wilson,167,,60.8,FLORIDA ST
2014,David Washington,263,,64.7,DOMINION
2014,Danny Vitale,256,,63.2,NWESTERN
2014,Hansell Wilson,285,,57.4,S JOSE ST
2014,Justin Podrabsky,185,,76.2,IDAHO
2014,Busta Anderson,289,,54.9,S CAROLINA
2014,Matthew Miller,120,,79.2,BOISE ST
2014,Josh Bordner,121,,71.6,BOSTON COL
2014,Marcell Ateman,262,,62.4,OKLA STATE
2014,Jacob Sannon,185,,62.8,IDAHO
2014,Leondre James,319,,58.5,TULANE
2014,Cory Avery,198,,65.5,KANSAS
2014,Nate Hairston,306,,55.8,TEMPLE
2014,Stanley Williams,202,,60.4,KENTUCKY
2014,Ike Lewis,108,,64.8,APP STATE
2014,David Ungerer III,185,,52,IDAHO
2014,Elijhaa Penny,185,,63.1,IDAHO
2014,Mikah Holder,284,,58.5,S DIEGO ST
2014,Jordan Pu`u-Robinson,180,,38.3,HAWAII
2014,Jonathon Rumph,173,,91.6,GEORGIA
2014,Jayme Taylor,256,,51.9,NWESTERN
2014,Jordon Vaden,144,,54.7,COLO STATE
2014,Kenneth Towns,173,,60,GEORGIA
2014,Dareyon Chance,347,,42.3,W MICHIGAN
2014,Kristoffer Olugbode,185,,74.4,IDAHO
2014,Jay Warren,165,,28.1,FAU
2014,DeBrandon Sanders,237,,67.6,NAVY
2014,Randy Price,314,,55.5,TEXAS ST
2014,Kawmae Sawyer,259,,61.4,OHIO
2014,Johnny Mundt,264,,55.6,OREGON
2014,Nick Arcidiacono,278,,36.5,RUTGERS
2014,Ralph David Abernathy IV,138,,58.2,CINCINNATI
2014,Jared Klingenberg,185,,43.1,IDAHO
2014,Edward Barksdale III,223,,57.6,MICH STATE
2014,Trent Cowan,185,,50.3,IDAHO
2014,Derrek Thomas,306,,52.5,TEMPLE
2014,Mark Szott,256,,90.7,NWESTERN
2014,Jerrel Brown,185,,49.3,IDAHO
2014,Denzel Jones Jr.,102,,39.3,AKRON
2014,Grant Martinez,110,,41.7,ARIZONA ST
2014,Raheem Falkins,103,,45.9,ALABAMA
2014,Drake Whitehurst,130,,55.5,CAL
2014,Jaleel Canty,160,,56.5,E MICHIGAN
2014,Sanford Seay,208,,46.9,LA TECH
2014,Jeff Ward,174,,43,GA SOUTHRN
2014,Jeff Allen,102,,31.2,AKRON
2014,Quan West,193,,50,IOWA STATE
2014,David Manoa,180,,33.7,HAWAII
2014,Austin Gearing,221,,54.1,MIAMI OH
2014,Myles Norwood,273,,54.1,PURDUE
2014,Stephen Baggett,156,,58,E CAROLINA
2014,Shakeem Jefferson,209,,51.9,LA MONROE
2014,EJ Sardinha,225,,59.6,MINNESOTA
2014,Cameron Oliver,182,,59.9,HOUSTON
2014,Ryan Pasoquen,180,,47.7,HAWAII
2014,Tyrin Stone-Davis,187,,53.4,ILLINOIS
2014,Grant Childress,208,,48.6,LA TECH
2014,Joe Stocstill,307,,58.7,TENNESSEE
2014,Chad Cook,296,,54.2,SO MISS
2014,Kolton Shindelar,320,,31.1,TULSA
2014,Conner Crane,300,,55.7,STANFORD
2014,Henri Jussila,325,,60,UNLV
2014,Brendan Landman,110,,50.9,ARIZONA ST
