year,player,pff_id,rush_grade,rec_grade,team
2014,Cory Avery,198,61.7,65.5,KANSAS
2014,Elijhaa Penny,185,57.5,63.1,IDAHO
2014,Jay Warren,165,64.6,28.1,FAU
2014,Jerrel Brown,185,65.5,49.3,IDAHO
2014,Stanley Williams,202,77.8,60.4,KENTUCKY
2014,Dareyon Chance,347,70.1,42.3,W MICHIGAN
2014,JoJo Natson,329,76.5,67.1,UTAH ST
2014,Buddy Howell,165,64.6,52.4,FAU
2014,Kristoffer Olugbode,185,58.5,74.4,IDAHO
2014,DeBrandon Sanders,237,72.2,67.6,NAVY
2014,Cole Chiappialle,266,55.3,56.7,PENN STATE
2014,Aaron Duckworth,185,50.7,53.8,IDAHO
2014,Deanthonie Summerhill,307,58.7,,TENNESSEE
2014,Joe Dineen,198,62.2,60,KANSAS
2014,Alton Howard,307,73.6,72.5,TENNESSEE
2014,Denzel Jones Jr.,102,59.2,39.3,AKRON
2014,Richard Montgomery Jr.,185,53.6,57.9,IDAHO
2014,Quinton Singleton,237,66,54.9,NAVY
2014,Randy Price,314,41.8,55.5,TEXAS ST
2014,Tony Pitman,214,63,,MARSHALL
2014,Temuchin Hodges,337,55.7,73.5,VA TECH
2014,Christopher Harper,130,68.3,75.1,CAL
2014,A.J. Clinton-Earl,101,58.7,,AIR FORCE
2014,Ike Lewis,108,58,64.8,APP STATE
2014,Leondre James,319,58,58.5,TULANE
2014,Miquel James,211,68.4,,LSU
2014,Ralph David Abernathy IV,138,57.9,58.2,CINCINNATI
2014,Taylor Lagace,324,59.9,56,UCLA
2014,David Washington,263,57.9,64.7,DOMINION
2014,Joshua McCain,185,59.8,77.3,IDAHO
2014,Danny Vitale,256,59.6,63.2,NWESTERN
2014,Baylor Black,118,58,,BAYLOR
2014,Tom Hruby,256,57.6,,NWESTERN
2014,Zach Nemechek,199,59.9,46.8,KANSAS ST
2014,Hansell Wilson,285,59.5,57.4,S JOSE ST
2014,Colin Osborne,237,63.1,,NAVY
2014,Eugene Lewis,266,57.5,64,PENN STATE
2015,Elijhaa Penny,185,74.2,63.2,IDAHO
2015,Ke'aun Kinner,198,64.5,53.6,KANSAS
2015,Buddy Howell,165,66.4,58.3,FAU
2015,Stanley Williams,202,78.7,49.9,KENTUCKY
2015,Jay Warren,165,61.2,50,FAU
2015,Aaron Duckworth,185,55.3,55.3,IDAHO
2015,DeBrandon Sanders,237,76.2,90,NAVY
2015,Aeris Williams,227,67.3,47.2,MISS STATE
2015,Matthew Jordan,176,54.4,60,GA TECH
2015,Nick Patti,323,60.5,49,UCF
2015,Aubrey Duty-Tyson,101,45.9,58.3,AIR FORCE
2015,Malike Roberson,285,60.5,65.4,S JOSE ST
2015,Damion Terry,223,54.5,56.9,MICH STATE
2015,Dontavian Lee,227,67.8,32.7,MISS STATE
2015,Austin Grammer,224,54.4,61.3,MIDDLE TN
2015,Tanner McEvoy,349,83.1,56.5,WISCONSIN
2015,Gump Hayes,110,61.7,54,ARIZONA ST
2015,Trever Ryen,193,53.4,68.5,IOWA STATE
2015,Donte Thomas-Williams,343,52,84.5,W VIRGINIA
2015,Jeffrey Coprich,130,60.4,88.4,CAL
2015,Elijah Wellman,343,57,54.2,W VIRGINIA
2015,Lynn Griffin,176,74.3,53.2,GA TECH
2015,Isaiah Saunders,185,56.8,56.5,IDAHO
2015,Morgan Steward,229,54.6,57,MISSOURI
2015,Jelani Roberts,256,70,58.4,NWESTERN
2015,Temuchin Hodges,337,67.1,67.1,VA TECH
2015,Traveon Samuel,210,72.6,61,LOUISVILLE
2015,Hansell Wilson,285,56.5,64.7,S JOSE ST
2015,Chris High,237,65.6,,NAVY
2015,Nate German,275,48.6,65,RICE
2015,Bobo Wilson,167,53.6,65.9,FLORIDA ST
2015,Jaqwis Dancy,208,55.6,89.5,LA TECH
2015,Garrett Anderson,146,68.3,74.2,UCONN
2015,Jalen Rowell,101,57.4,77.4,AIR FORCE
2015,Callen Hightower,185,60.9,65.3,IDAHO
2015,Alton Howard,307,67.6,51.8,TENNESSEE
2015,Royce Caldwell,242,59.4,54.7,NEW MEX ST
2015,Mikah Holder,284,63.5,73.7,S DIEGO ST
2015,Jackson Porter,216,63.2,49.2,UMASS
2015,Tyrian Taylor,242,72,64.6,NEW MEX ST
2015,Marcell Ateman,262,60,74.4,OKLA STATE
2015,Jordon Vaden,144,69.4,59,COLO STATE
2015,LaQuan McGowan,118,57.5,52.9,BAYLOR
2015,Ronald Cleveland,101,62.9,,AIR FORCE
