year,player,pff_id,rush_grade,rec_grade
2014,Vincent Jackson,30,,75.1
2014,Cecil Shorts,15,,61.7
2014,Delanie Walker,31,,70.1
2014,John Brown,1,,69.4
2014,Pierre Garcon,32,,70
2014,Antonio Gates,27,,73.4
2014,Marques Colston,20,,64.3
2014,Andre Holmes,23,,62.7
2014,Larry Donnell,21,,63.6
2014,Fred Jackson,4,,71.1
2014,Nate Washington,31,,63.1
2014,Taylor Gabriel,8,,72.6
2014,Andre Roberts,32,,59
2014,Miles Austin,8,,74.9
2014,Julius Thomas,10,,70.5
2014,Chris Hogan,4,,64.1
2014,Charles Johnson,18,,67.3
2014,Louis Murphy Jr.,30,,60.7
2014,Joique Bell,11,,69.4
2014,Benny Cunningham,26,,81.2
2014,Travaris Cadet,20,,68.4
2014,Paul Richardson Jr.,29,,66.9
2014,Victor Cruz,21,,62.8
2014,Bobby Rainey Jr.,30,,54.4
2014,Jerick McKinnon,18,,64.1
2014,Brian Quick,26,,73.9
2014,Rashad Jennings,21,,42.5
2014,Clay Harbor,15,,59.5
2014,Denard Robinson,15,,61.1
2014,Ricardo Lockette,29,,70.7
2014,Ladarius Green,27,,76.6
2014,Brenton Bersin,5,,69.4
2014,Daniel Fells,21,,74.7
2014,Josh Hill,20,,76.1
2014,Jacoby Jones,3,,52
2014,Mike Brown,15,,48.7
2014,Isaiah Crowell,8,,54.8
2014,Derek Carrier,28,,59
2014,Ben Tate,25,,50.9
2014,Adam Thielen,18,,66.3
2014,Terrance West,8,,43.1
2014,Brian Tyms,19,,56.7
2014,Bryan Walters,29,,59
2014,Eric Weems,2,,59
2014,Joe Morgan,20,,53.3
2014,Frankie Hammond,16,,47.6
2014,Darren Fells,1,,69
2014,Lorenzo Taliaferro,3,,64
2014,Khiry Robinson,20,,73.6
2014,Brian Leonhardt,23,,49
2014,Corey Washington,21,,73.1
2014,Adrien Robinson,21,,76.5
2014,Jonathan Grimes,13,,58.6
2014,Brandon Williams,5,,70.3
2014,Danny Woodhead,27,,62.7
2014,Chris Matthews,29,,90.6
2014,Demetrius Harris,16,,56.5
2014,Harold Hoskins,17,,52.9
2014,Brandon Bostick,12,,50.1
2014,Phillip Supernaw,3,,81.4
2014,Micheal Spurlock,6,,39.5
2014,Brad Smith,24,,46
2014,Nic Jacobs,15,,60.2
2014,Jeff Janis,12,,66.6
2014,Cobi Hamilton,7,,51.8
2014,Damian Williams,26,,78.3
2014,Chris Ogbonnaya,21,,29.9
2014,Charcandrick West,16,,58.3
2014,Freddie Martino,2,,58.3
2014,Steve Maneri,19,,29.3
2014,Jordan Thompson,11,,39.1
2014,Cameron Brate,30,,63.5
2014,DeAndre Presley,5,,56.1
2014,Joshua Cribbs,14,,57.8
2015,Delanie Walker,31,,84.8
2015,Pierre Garcon,32,,75.4
2015,John Brown,1,,78.9
2015,Marvin Jones Jr.,7,,73.9
2015,Danny Woodhead,27,,90.8
2015,Willie Snead IV,20,,73.3
2015,Nate Washington,13,,63
2015,Julius Thomas,15,,62.7
2015,Antonio Gates,27,,77.5
2015,Cecil Shorts,13,,61.1
2015,David Johnson,1,,71.1
2015,Marques Colston,20,,62.8
2015,Chris Hogan,4,,58.9
2015,Vincent Jackson,30,,77.6
2015,Ladarius Green,27,,65.2
2015,Seth Roberts,23,,57.7
2015,Taylor Gabriel,8,,55.1
2015,Fred Jackson,29,,60.8
2015,Leonard Hankerson,4,,58.8
2015,Zach Miller,6,,90
2015,Jeremy Butler,3,,63.3
2015,Larry Donnell,21,,60.8
2015,Bryan Walters,15,,74.9
2015,Charcandrick West,16,,46.5
2015,Darren Fells,1,,67
2015,Rashad Greene Sr.,15,,56
2015,Jonathan Grimes,13,,69.9
2015,Benny Cunningham,26,,75.5
2015,Rashad Jennings,21,,60.8
2015,Brian Quick,26,,51.4
2015,Marc Mariani,6,,65.4
2015,Miles Austin,24,,52.1
2015,Cameron Brate,30,,67
2015,Andre Holmes,23,,57
2015,Jerick McKinnon,18,,82.1
2015,J.J. Nelson,1,,83
2015,Denard Robinson,15,,58.3
2015,Josh Hill,20,,49.9
2015,Donteea Dye Jr.,30,,52.8
2015,Joique Bell,11,,87.2
2015,Travaris Cadet,20,,72.7
2015,Andre Roberts,32,,50.7
2015,Derek Carrier,32,,61.9
2015,Nick Boyle,3,,75.7
2015,Isaiah Crowell,8,,62.6
2015,Khiry Robinson,20,,80
2015,Jeff Janis,12,,69.8
2015,Jerome Simpson,28,,56.6
2015,Clay Harbor,15,,58.7
2015,Louis Murphy Jr.,30,,62.4
2015,Cameron Meredith,6,,62.1
2015,Adam Thielen,18,,60.7
2015,MyCole Pruitt,18,,66.5
2015,Jerome Cunningham,21,,38.7
2015,Jeremy Ross,23,,63
2015,Charles Johnson,18,,63.9
2015,Tim Hightower,20,,79.1
2015,Demetrius Harris,16,,52
2015,Justin Perillo,12,,70.2
2015,Daniel Brown,3,,64.2
2015,Brenton Bersin,5,,74.8
2015,Kendall Gaskins,28,,42.8
2015,Taiwan Jones,23,,80
2015,James O'Shaughnessy,16,,62.4
2015,Kevin Smith,29,,55.8
2015,Ricardo Lockette,29,,65.6
2015,Daniel Fells,21,,90.6
2015,Jarryd Hayne,28,,65.2
2015,Terrelle Pryor Sr.,8,,52.9
2015,Tyrell Williams,27,,53.3
2015,Lorenzo Taliaferro,3,,87.3
2015,Terrance West,3,,55.8
2015,Phillip Supernaw,31,,45
2015,Rico Richardson,31,,50.7
2015,Tre McBride,31,,50.7
2015,Khari Lee,6,,44.4
2015,Marcus Easley,4,,57.4
2015,Jonathan Krause,24,,56.3
2015,Bobby Rainey Jr.,30,,72
2015,Nic Jacobs,15,,31
2015,Christopher Harper,19,,57.9
2015,Frankie Hammond,16,,55.5
2015,Zach Zenner,11,,57
2015,B.J. Daniels,13,,65.6
2015,Ben Edwards,21,,51.7
2015,Matt Hazel,17,,53.5
2015,Paul Richardson Jr.,29,,84.8
2015,Scott Simonson,5,,73.7
2015,Asante Cleveland,27,,53
2015,Brittan Golden,1,,55.1
2015,Matthew Mulligan,4,,40.4
2015,Eric Weems,2,,68.4
2015,Brian Leonhardt,28,,55.2
2015,Tyler Varga,14,,67.8
2015,Tyler Murphy,25,,57.2
2015,Alonzo Harris,12,,26.1
2015,Brian Parker,16,,48.1
2016,Terrelle Pryor Sr.,8,,79.6
2016,Tyrell Williams,27,,75.8
2016,Pierre Garcon,32,,84.2
2016,Marvin Jones Jr.,11,,71.3
2016,David Johnson,1,,90
2016,Willie Snead IV,20,,76.7
2016,Delanie Walker,31,,77.1
2016,Cameron Meredith,6,,73
2016,Adam Thielen,18,,77.5
2016,Antonio Gates,27,,71.1
2016,Eli Rogers,25,,66.3
2016,Seth Roberts,23,,52.8
2016,Cameron Brate,30,,81.1
2016,Chris Hogan,19,,65.6
2016,Brian Quick,26,,61.3
2016,Victor Cruz,21,,59.8
2016,J.J. Nelson,1,,67.2
2016,John Brown,1,,70.2
2016,Zach Miller,6,,72.7
2016,Taylor Gabriel,2,,85.9
2016,Jerick McKinnon,18,,67.6
2016,Travaris Cadet,20,,68.1
2016,Isaiah Crowell,8,,72.2
2016,Julius Thomas,15,,63.2
2016,Rashad Jennings,21,,55.3
2016,Paul Richardson Jr.,29,,76.1
2016,Terrance West,3,,79.3
2016,Charles Johnson,18,,60.1
2016,Charcandrick West,16,,60.1
2016,Ladarius Green,25,,82.8
2016,Bryan Walters,15,,63.2
2016,Chester Rogers,14,,61.8
2016,Demetrius Harris,16,,44.9
2016,Vincent Jackson,30,,57
2016,Andre Holmes,23,,73.5
2016,Zach Zenner,11,,70.7
2016,Andre Roberts,11,,61.7
2016,Bobby Rainey Jr.,21,,84.7
2016,Cecil Shorts,30,,60.3
2016,Walter Powell,4,,58.4
2016,Tim Hightower,20,,71.5
2016,Erik Swoope,14,,79.5
2016,Jonathan Grimes,13,,66.1
2016,Larry Donnell,21,,41.4
2016,Daniel Brown,6,,61
2016,Benny Cunningham,26,,57.2
2016,Josh Hill,20,,53.6
2016,Roger Lewis Jr.,21,,50.9
2016,Christopher Harper,28,,58.8
2016,Jeff Janis,12,,51.7
2016,Darren Fells,1,,52.5
2016,Neal Sterling,15,,63
2016,De'Marcus Ayers,25,,68.2
2016,Brittan Golden,1,,55.7
2016,Tanner McEvoy,29,,61.7
2016,Seth DeValve,8,,77.5
2016,Freddie Martino,30,,66.9
2016,Dominique Jones,17,,77.8
2016,Brandon Bostick,22,,51.6
2016,Mike Thomas,26,,47.2
2016,Rashad Greene Sr.,15,,56
2016,Wendall Williams,13,,84.4
2016,Brenton Bersin,5,,58.2
2016,Danny Woodhead,27,,63
2016,Nick Boyle,3,,63.1
2016,Ben Braunecker,6,,56.7
2016,Justin Perillo,12,,52.7
2016,Ross Travis,16,,40.9
2016,Denard Robinson,15,,44.4
2016,Phillip Supernaw,31,,56
2016,Taiwan Jones,23,,84.4
2016,Griff Whalen,19,,50.6
2016,Je'Ron Hamm,28,,55.2
2016,Cole Wick,11,,61.7
2016,Brandon Williams,29,,66.3
2016,Lorenzo Taliaferro,3,,68.1
2016,Clay Harbor,11,,45.4
2016,George Farmer,29,,39.7
2016,Matt Lengel,19,,58.7
2016,Ifeanyi Momah,1,,68.8
2016,Sean McGrath,27,,53.5
2016,Shane Wynn,15,,59.2
2016,James O'Shaughnessy,16,,45.6
2016,Kalif Raymond,10,,54.5
2016,Derek Carrier,32,,50.4
2016,MyCole Pruitt,6,,56.4
2016,Hakeem Valles,1,,27.9
2016,Matthew Mulligan,11,,44.2
2016,Troymaine Pope,29,,31.5
2016,Jeremy Butler,27,,56.7
2016,Terrell Watson,24,,63.1
2016,Damiere Byrd,5,,70.3
2016,Khari Lee,11,,39.9
2016,Mack Brown,32,,61
2016,Chris Manhertz,5,,63
2016,Chase Reynolds,26,,90.3
2016,Jakeem Grant Sr.,17,,39.3
2016,Braedon Bowman,22,,37.6
2016,D.J. Tialavea,2,,76.9
2016,Joique Bell,11,,61.9
2016,Tony Washington,15,,62.4
2016,Paul McRoberts,26,,55
2016,DeAndre Smelter,28,,64.8
2017,Adam Thielen,18,,80.1
2017,Delanie Walker,31,,77.5
2017,Marvin Jones Jr.,11,,75.8
2017,Cooper Kupp,26,,78.2
2017,Paul Richardson Jr.,29,,66.1
2017,Keelan Cole Sr.,15,,72
2017,Jerick McKinnon,18,,83.6
