year,player,pff_id,rush_grade,rec_grade
2014,Joique Bell,11,64.4,69.4
2014,Mark Ingram II,20,71.9,47.4
2014,Terrance West,8,59.6,43.1
2014,Rashad Jennings,21,61.1,42.5
2014,Isaiah Crowell,8,52.3,54.8
2014,Fred Jackson,4,72.2,71.1
2014,Denard Robinson,15,55.5,61.1
2014,Ben Tate,25,43.2,50.9
2014,Jerick McKinnon,18,70.6,64.1
2014,Bobby Rainey Jr.,30,59.5,54.4
2014,Khiry Robinson,20,77.6,73.6
2014,Lorenzo Taliaferro,3,61.1,64
2014,Benny Cunningham,26,56.4,81.2
2014,Jonathan Grimes,13,59.3,58.6
2014,Danny Woodhead,27,53.3,62.7
2014,Chris Ogbonnaya,21,62.3,29.9
2014,Shaun Draughn,8,48.3,56.3
2014,Travaris Cadet,20,39.8,68.4
2014,Jacoby Jones,3,65.6,52
2014,John Brown,1,48.4,69.4
2014,Andre Roberts,32,59.1,59
2014,Taylor Gabriel,8,50.9,72.6
2014,Ricardo Lockette,29,64.6,70.7
2014,Bryan Walters,29,57.2,59
2014,Joe Morgan,20,70,53.3
2014,Charles Johnson,18,56.5,67.3
2014,Chris Williams,6,56.6,55.7
2014,DeAndre Presley,5,59.2,56.1
2014,Derek Carrier,28,63,59
2015,Todd Gurley II,26,71.2,69.1
2015,Rashad Jennings,21,69.9,60.8
2015,Isaiah Crowell,8,63.3,62.6
2015,Charcandrick West,16,61.8,46.5
2015,Melvin Gordon III,27,51.9,66.4
2015,Mark Ingram II,20,64.8,70.9
2015,David Johnson,1,69.5,71.1
2015,Duke Johnson Jr.,8,67,83.6
2015,Danny Woodhead,27,58.3,90.8
2015,Tim Hightower,20,75.7,79.1
2015,Joique Bell,11,61.1,87.2
2015,Denard Robinson,15,53.8,58.3
2015,Terrance West,3,56.1,55.8
2015,Jonathan Grimes,13,53.4,69.9
2015,Khiry Robinson,20,57.5,80
2015,Jerick McKinnon,18,69.2,82.1
2015,Benny Cunningham,26,48.3,75.5
2015,Fred Jackson,29,52.6,60.8
2015,Zach Zenner,11,60,57
2015,Jarryd Hayne,28,66.2,65.2
2015,Taiwan Jones,23,76.2,80
2015,Kendall Gaskins,28,60.1,42.8
2015,Lorenzo Taliaferro,3,67.6,87.3
2015,Travaris Cadet,20,55.3,72.7
2015,Cecil Shorts,13,43.5,61.1
2015,John Crockett,12,60.2,57
2015,B.J. Daniels,13,57.6,65.6
2015,Marvin Jones Jr.,7,57.6,73.9
2015,Bobby Rainey Jr.,30,31.8,72
2015,Alonzo Harris,12,58.9,26.1
2015,John Brown,1,61.8,78.9
2015,Adam Thielen,18,72.3,60.7
2015,Isaiah Pead,25,29.3,60
2015,Chris Hogan,4,58.3,58.9
2015,Terrelle Pryor Sr.,8,59.2,52.9
2015,Damaris Johnson,31,56.6,58.6
2015,Joe Webb III,5,59.7,60
2015,Eric Weems,2,65.3,68.4
2015,Tony Washington,15,63.1,52.3
2015,Delanie Walker,31,70,84.8
2015,Glenn Winston,8,58.9,56.4
2015,J.J. Nelson,1,60.7,83
2015,Tre McBride,31,63.1,50.7
2015,Tyler Varga,14,59.3,67.8
2015,Jeremy Ross,23,62,63
2016,David Johnson,1,68.3,90
2016,Todd Gurley II,26,55.4,63.2
2016,Melvin Gordon III,27,65.5,70.9
2016,Mark Ingram II,20,67.7,79.6
2016,Isaiah Crowell,8,65,72.2
2016,Terrance West,3,69.2,79.3
2016,Rashad Jennings,21,53.1,55.3
2016,Jerick McKinnon,18,56.5,67.6
2016,Tim Hightower,20,51.4,71.5
2016,Zach Zenner,11,57.8,70.7
2016,Charcandrick West,16,57.8,60.1
2016,Duke Johnson Jr.,8,59.8,71
