year,player,ras
2000,Curtis Keaton,9.92
2000,Frank Moreau,9.62
2000,Dante Hall,9.42
2000,Sammy Morris,9.34
2000,Travis Prentice,8.85
2000,Trung Canidate,9.01
2000,Doug Chapman,8.79
2000,Thomas Hamner,8.74
2000,Chad Morton,8.08
2000,Rondell Mealey,7.15
2000,Reuben Droughns,4.88
2000,Shyrone Stith,2.36
2001,Derrick Blaylock,8.98
2002,Eric Crouch,8.91
2002,Lamar Gordon,8.43
2002,Brian Westbrook,7.94
2005,Nehemiah Broughton,4.8
2008,Xavier Omon,6.49
2009,Bernard Scott,8.3
2009,Javarris Williams,5.81
2010,Deji Karim,8.91
2011,Taiwan Jones,9.3
2012,Daryl Richardson,7.61
2014,Jerick McKinnon,9.78
2014,Lorenzo Taliaferro,7.83
2014,Terrance West,3.91
2016,Keenan Reynolds,4.55
2017,De'Angelo Henderson,5.66
2017,Tarik Cohen,3.92
2018,Trenton Cannon,9.07
2018,Chase Edmonds,7.89
2020,A.J. Dillon,9.15
2022,Pierre Strong Jr.,9.34
2023,Chris Rodriguez Jr.,7.7
2024,Dylan Laube,8.78
2024,Sione Vaki,7.94
