year,player,ras
2000,Anthony Becht,10.0
2000,Dustin Lyman,9.92
2000,Austin Wheatley,9.83
2000,Dave Stachelski,9.71
2000,Aaron Shea,9.67
2000,Jason Gavadza,9.37
2000,James Whalen,6.61
2001,Arther Love,7.04
2002,Keith Heinrich,9.89
2002,Ryan Hannam,8.29
2003,Visanthe Shiancoe,9.73
2003,Dan Curley,8.35
2004,Nate Lawrie,9.81
2004,Kellen Winslow II,9.55
2005,Andy Stokes,9.34
2006,Delanie Walker,7.26
2007,Michael Allan,8.91
2007,Kevin Boss,8.13
2008,Matt Sherry,8.73
2009,John Nalbone,8.96
2011,Julius Thomas,7.8
2014,Logan Thomas,9.67
2015,Mycole Pruitt,7.55
2015,James O'Shaughnessy,7.6
2015,Nick Boyle,3.65
2016,Seth DeValve,8.96
2016,Temarrick Hemingway,6.98
2016,Rico Gathers,7.08
2017,Adam Shaheen,8.67
2017,Eric Saubert,7.7
2018,Dallas Goedert,9.5
2020,Adam Trautman,8.74
2021,Zach Davidson,8.8
2022,Andrew Ogletree,9.34
2023,Tucker Kraft,9.67
